,p_hat,CI_upper,CI_lower,num_exp
0,0.95,0.9927164247079471,0.9072835752920528,100.0
1,0.924,0.9568489028263913,0.8911510971736087,250.0
2,0.928,0.950657048023231,0.9053429519767691,500.0
3,0.928,0.9464994022448835,0.9095005977551166,750.0
4,0.933,0.9484962392966942,0.9175037607033059,1000.0
5,0.9393333333333334,0.9514139024704116,0.9272527641962551,1500.0
6,0.937,0.9476481255543968,0.9263518744456033,2000.0
7,0.932,0.9418682580878353,0.9221317419121648,2500.0
8,0.9303333333333333,0.9394433520710229,0.9212233145956438,3000.0
9,0.9411428571428572,0.9489401066589657,0.9333456076267487,3500.0
10,0.941,0.9483019509767273,0.9336980490232726,4000.0
11,0.9388888888888889,0.9458874542659186,0.9318903235118592,4500.0
12,0.9346,0.9414527494170424,0.9277472505829576,5000.0
13,0.9343636363636364,0.940908445208517,0.9278188275187558,5500.0
14,0.9393333333333334,0.9453736179018725,0.9332930487647942,6000.0
15,0.934,0.9400358274882682,0.9279641725117319,6500.0
16,0.9322857142857143,0.9381716259044255,0.9263998026670031,7000.0
17,0.9353333333333333,0.9408993038679413,0.9297673627987254,7500.0
18,0.93775,0.943044394660474,0.932455605339526,8000.0
19,0.9382352941176471,0.9433528748195823,0.9331177134157118,8500.0
20,0.9353333333333333,0.9404143460270231,0.9302523206396436,9000.0
21,0.9344210526315789,0.9393988798303801,0.9294432254327778,9500.0
22,0.9338,0.9386730853792622,0.9289269146207377,10000.0
23,0.937,0.9415403759920838,0.9324596240079163,11000.0
24,0.9343333333333333,0.9387651407019346,0.9299015259647321,12000.0
25,0.9341538461538461,0.9384171945500807,0.9298904977576116,13000.0
26,0.937,0.9410246131637037,0.9329753868362964,14000.0
27,0.9361333333333334,0.9400463206600872,0.9322203460065795,15000.0
28,0.932625,0.9365091054784797,0.9287408945215204,16000.0
29,0.9347647058823529,0.9384767753572446,0.9310526364074613,17000.0
30,0.9365,0.9400624812887176,0.9329375187112824,18000.0
31,0.9333157894736842,0.9368630828181506,0.9297684961292179,19000.0
32,0.9332,0.9366602596579904,0.9297397403420097,20000.0
