,p_hat,CI_upper,CI_lower,sample_size
0,0.9437,0.9482177195352933,0.9391822804647066,50.0
1,0.9482,0.9525437312410636,0.9438562687589365,150.0
2,0.9486,0.9529278401407372,0.9442721598592628,250.0
3,0.9453,0.9497568352781897,0.9408431647218104,350.0
4,0.9482,0.9525437312410636,0.9438562687589365,450.0
5,0.9463,0.9507182435682591,0.941881756431741,550.0
6,0.9493,0.9535998550059879,0.9450001449940122,650.0
7,0.9525,0.9566689567342296,0.9483310432657704,750.0
8,0.9464,0.9508143610551891,0.9419856389448109,850.0
9,0.9479,0.9522556022582495,0.9435443977417505,950.0
10,0.9454,0.9498529950396559,0.9409470049603441,1050.0
11,0.9483,0.9526397652489812,0.9439602347510189,1150.0
12,0.9516,0.9558062781546943,0.9473937218453057,1250.0
13,0.9543,0.9583930651078781,0.9502069348921219,1350.0
14,0.9479,0.9522556022582495,0.9435443977417505,1450.0
15,0.9504,0.9546554171848846,0.9461445828151155,1500.0
